Type,Country Code,Series Code,Description
Country-Series,Algeria (DZA),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Algeria (DZA),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country."
Country-Series,East Asia & Pacific (excluding high income) (EAP),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Europe & Central Asia (excluding high income) (ECA),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Ecuador (ECU),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Ecuador (ECU),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on reports provided by the country and data published by the national authorities. Short-term debt for 2024 is estimated based on Central Bank data.
Country-Series,Ecuador (ECU),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,"Egypt, Arab Rep. (EGY)","Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,"Egypt, Arab Rep. (EGY)","External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
Country-Series,"Egypt, Arab Rep. (EGY)","Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Eritrea (ERI),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Eritrea (ERI),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Eritrea (ERI),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data from 2010 up to 2024 are World Bank staff estimates. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS.
Country-Series,Ethiopia (ETH),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.
Country-Series,Ethiopia (ETH),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Ethiopia (ETH),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Fiji (FJI),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Fiji (FJI),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Fiji (FJI),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt and short-term debt data for 2024 are based on data from the Reserve Bank of Fiji. DSSI eligible and participating in 2020 and 2021.
Country-Series,Gabon (GAB),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. Data include the effects of Paris Club debt buyback agreement signed in 2007.
Country-Series,Gabon (GAB),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
